ID,Abbr,State,Median_Income,HighSchoolOrLower,InternetUsageIn30Yrs,DentalVisit,Diabetes
1,AL,Alabama,42830,16.1,75.6,60,12.9
2,AK,Alaska,71583,14.5,89.9,64.4,7.4
3,AZ,Arizona,50068,17,82.9,59,10.1
4,AR,Arkansas,41262,14.2,77.3,57.1,12.8
5,CA,California,61933,13,80.6,65.1,10.3
6,CO,Colorado,61303,12.7,86.9,67,7.3
7,CT,Connecticut,70048,11.8,83.7,74.9,9.2
8,DE,Delaware,59716,15.3,81.5,66.5,11.1
9,DC,District of Columbia,71648,11.7,84.6,70.8,8.4
10,FL,Florida,47463,16.5,81.9,61.9,11.2
11,GA,Georgia,49321,16.9,80.5,60.6,11.6
12,HI,Hawaii,69592,8.5,80.4,71.6,9.8
13,ID,Idaho,47861,14.1,86.1,64.3,7.6
14,IL,Illinois,57444,12.8,81.8,63.9,10.1
15,IN,Indiana,49446,17,80.7,61.5,10.7
16,IA,Iowa,53712,10.7,83.2,69.4,9.5
17,KS,Kansas,52504,12.7,83.9,67.3,10.3
18,KY,Kentucky,42958,13.3,78.7,61,12.5
19,LA,Louisiana,44555,19.2,77,58.3,11.3
20,ME,Maine,49462,11.9,84.8,63.6,9.5
21,MD,Maryland,73971,12.2,84.5,70.2,10.1
22,MA,Massachusetts,69160,10.2,85.3,74.7,9.7
23,MI,Michigan,49847,13.1,83,68.6,10.4
24,MN,Minnesota,61481,12,86.8,72.6,8.1
25,MS,Mississippi,39680,17.9,70.4,56.8,13
26,MO,Missouri,48363,13.2,81.5,58.6,11.1
27,MT,Montana,46328,13.3,83,62.6,8.8
28,NE,Nebraska,52686,10.6,83.6,66.4,9.2
29,NV,Nevada,51450,18.2,82.1,59.9,9.6
30,NH,New Hampshire,66532,11.4,89.1,69.4,9.2
31,NJ,New Jersey,71919,12.1,82.9,70.2,9.7
32,NM,New Mexico,44803,18.3,76.4,61.3,11.5
33,NY,New York,58878,12.8,80,67.3,10
34,NC,North Carolina,46556,13.8,78.5,64.2,10.8
35,ND,North Dakota,59029,10.9,82.6,65.5,8.6
36,OH,Ohio,49308,13.7,82.7,65.3,11.7
37,OK,Oklahoma,47529,16.6,79.6,56.8,12
38,OR,Oregon,51075,13.6,87.2,65.7,9
39,PA,Pennsylvania,53234,12,80.6,66.8,11.2
40,RI,Rhode Island,54891,11.2,83.1,72.1,9.5
41,SC,South Carolina,45238,14.5,77.3,58.3,12
42,SD,South Dakota,50979,16,81.5,70.5,9.1
43,TN,Tennessee,44361,12.9,78.1,58.3,13
44,TX,Texas,53035,16.3,79.1,58.2,11
45,UT,Utah,60922,14.1,89.4,68.9,7.1
46,VT,Vermont,54166,8.6,86,72.2,7.9
47,VA,Virginia,64902,10.8,84,69.3,9.7
48,WA,Washington,61366,15.2,87.4,67,8.9
49,WV,West Virginia,41059,14.2,73.2,54.2,14.1
50,WI,Wisconsin,52622,11.1,83.5,70.1,9
51,WY,Wyoming,57055,12,84.3,65,8.4
52,PR,Puerto Rico,18928,65.8,15.7,11,15.7
